Team,Player,Nation,Position,Age,MP,Starts,Minutes,90s,Goals,Assists,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_Per90,Ast_Per90,G+A_Per90,G-PK_Per90,xG_Per90,xAG_Per90,xG+xAG_Per90,npxG_Per90,npxG+xAG_Per90,SoT%,Sh/90,SoT/90,Distance,Key Passes,Passes Into Final 1/3,SCA,SCA/90,GCA,GCA/90,Carries into Final 1/3,Carries into Penalty Area
Liverpool FC,Virgil van Dijk,Netherlands,DF,32,36,36,3177,35.3,2,2,4,2,0,0,3,1,2.8,2.8,1.6,4.4,32,200,7,0.06,0.06,0.11,0.06,0.08,0.04,0.12,0.08,0.12,31.1,1.27,0.4,12.6,11,213,59,1.67,4,0.11,19,0
Liverpool FC,Luis Díaz,Colombia,FW,26,37,32,2629,29.2,5,8,13,8,0,0,3,0,11.9,5.7,1.7,7.5,137,113,302,0.17,0.27,0.45,0.27,0.41,0.19,0.6,0.41,0.6,34,3.22,1.1,15,64,62,163,5.58,9,0.31,77,70
Liverpool FC,Alexis Mac Allister,Argentina,MF,24,33,31,2599,28.9,5,5,10,4,1,1,7,1,3.7,2.9,3.6,6.4,44,209,48,0.17,0.17,0.35,0.14,0.13,0.12,0.25,0.1,0.22,18.6,1.49,0.28,23.3,47,162,108,3.74,12,0.42,45,4
Liverpool FC,Mohamed Salah,Egypt,FW,31,32,28,2534,28.2,18,10,28,13,5,7,2,0,21.2,15.5,11.8,27.3,98,147,341,0.64,0.36,0.99,0.45,0.75,0.42,1.17,0.55,0.97,43.9,3.8,1.67,15.5,66,56,139,4.94,20,0.71,54,66
Liverpool FC,Alisson,Brazil,GK,30,28,28,2520,28,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,11,0.39,0,0,0,0
Liverpool FC,Trent Alexander-Arnold,United Kingdom,DF,24,28,25,2155,23.9,3,4,7,3,0,0,6,0,2.6,2.3,7.2,9.5,45,205,97,0.13,0.17,0.29,0.13,0.11,0.3,0.41,0.1,0.4,17,1.96,0.33,24.4,64,202,126,5.27,7,0.29,48,7
Liverpool FC,Dominik Szoboszlai,Hungary,MF,22,33,25,2104,23.4,3,2,5,3,0,0,1,0,3.7,3.7,5.8,9.5,75,152,160,0.13,0.09,0.21,0.13,0.21,0.16,0.25,0.4,0.4,25,2.57,0.64,24.3,56,98,115,4.92,7,0.3,67,22
Liverpool FC,Darwin Núñez,Uruguay,FW,24,36,22,2047,22.7,11,8,19,11,0,1,9,0,15.5,5.4,6,21.5,58,54,206,0.48,0.35,0.84,0.48,0.72,0.27,0.98,0.68,0.95,43,4.7,2.02,15,33,23,79,3.47,14,0.62,35,36
Liverpool FC,Wataru Endo,Japan,MF,30,29,20,1722,19.1,1,0,1,1,0,0,10,0,0.5,0.5,1.8,2.3,10,101,21,0.05,0,0.05,0.05,0.03,0.09,0.12,0.03,0.12,30,0.52,0.16,22,16,109,54,2.82,3,0.16,21,2
Liverpool FC,Andrew Robertson,Scotland,DF,29,23,18,1693,18.8,3,2,5,3,0,0,2,0,1.9,1.9,5.4,7.3,63,140,130,0.16,0.11,0.27,0.16,0.1,0.29,0.39,0.1,0.39,50,0.64,0.32,12.5,62,118,97,5.16,5,0.27,40,6
